cid,email,iid,iname,strength
EED898,EED898@courses.iitd.ac.in,bkpanigrahi,Bijaya Ketan Panigrahi,5
EEL316,EEL316@courses.iitd.ac.in,rkmallik,Ranjan Kumar Mallik,3
EEL718,EEL718@courses.iitd.ac.in,shankar.prakriya,Shankar Prakriya,0
EEL768,EEL768@courses.iitd.ac.in,sprasad,Surindra Prasad,7
EEL861,EEL861@courses.iitd.ac.in,rbose,Ranjan Bose,17
ELD411,ELD411@courses.iitd.ac.in,nsenroy,Nilanjan Senroy,2
ELD431,ELD431@courses.iitd.ac.in,nsenroy,Nilanjan Senroy,1
ELD450,ELD450@courses.iitd.ac.in,nsenroy,Nilanjan Senroy,2
ELD451,ELD451@courses.iitd.ac.in,nsenroy,Nilanjan Senroy,0
ELD452,ELD452@courses.iitd.ac.in,nsenroy,Nilanjan Senroy,1
ELD453,ELD453@courses.iitd.ac.in,nsenroy,Nilanjan Senroy,1
ELD454,ELD454@courses.iitd.ac.in,nsenroy,Nilanjan Senroy,0
ELD455,ELD455@courses.iitd.ac.in,nsenroy,Nilanjan Senroy,5
ELD456,ELD456@courses.iitd.ac.in,nsenroy,Nilanjan Senroy,3
ELD457,ELD457@courses.iitd.ac.in,nsenroy,Nilanjan Senroy,9
ELD458,ELD458@courses.iitd.ac.in,nsenroy,Nilanjan Senroy,3
ELD459,ELD459@courses.iitd.ac.in,nsenroy,Nilanjan Senroy,2
ELD780,ELD780@courses.iitd.ac.in,sumantra,Sumantra Dutta Roy,20
ELD800,ELD800@courses.iitd.ac.in,ink,Indra Narayan Kar,1
ELD801,ELD801@courses.iitd.ac.in,mnabi,Mashuq-Un-Nabi,2
ELD802,ELD802@courses.iitd.ac.in,mnabi,Mashuq-Un-Nabi,7
ELD810,ELD810@courses.iitd.ac.in,seshan,Seshan Srirangarajan,1
ELD812,ELD812@courses.iitd.ac.in,seshan,Seshan Srirangarajan,11
ELD880,ELD880@courses.iitd.ac.in,sumantra,Sumantra Dutta Roy,2
ELD881,ELD881@courses.iitd.ac.in,sumantra,Sumantra Dutta Roy,20
ELL100,ELL100@courses.iitd.ac.in,amitjain,Amit Kumar Jain,446
ELL201,ELL201@courses.iitd.ac.in,manansuri,Manan Suri,265
ELL205,ELL205@courses.iitd.ac.in,sdjoshi,S D Joshi,120
ELL212,ELL212@courses.iitd.ac.in,kkshah,Kushal Kumar Shah,87
ELL225,ELL225@courses.iitd.ac.in,sbhasin,Shubhendu Bhasin,139
ELL231,ELL231@courses.iitd.ac.in,bmitra,Bhaskar Mitra,48
ELL301,ELL301@courses.iitd.ac.in,janas,S Janardhanan,51
ELL303,ELL303@courses.iitd.ac.in,sukumar,Sukumar Mishra,139
ELL316,ELL316@courses.iitd.ac.in,bhaumik,Basabi Bhaumik,21
ELL332,ELL332@courses.iitd.ac.in,bhuvan,G Bhuvaneswari,68
ELL365,ELL365@courses.iitd.ac.in,rahman,S M K Rahman,151
ELL400,ELL400@courses.iitd.ac.in,bkpanigrahi,Bijaya Ketan Panigrahi,19
ELL402,ELL402@courses.iitd.ac.in,swadesd,Swades Kumar De,33
ELL409,ELL409@courses.iitd.ac.in,jayadeva,Jayadeva,60
ELL411,ELL411@courses.iitd.ac.in,rkmallik,Ranjan Kumar Mallik,22
ELL703,ELL703@courses.iitd.ac.in,rkpb,Rkp Bhatt,18
ELL705,ELL705@courses.iitd.ac.in,shaunak,Shaunak Sen,16
ELL711,ELL711@courses.iitd.ac.in,sprasad,Surindra Prasad,1
ELL715,ELL715@courses.iitd.ac.in,maggarwal,Monika Aggarwal,54
ELL716,ELL716@courses.iitd.ac.in,subrat,Subrat Kar,23
ELL717,ELL717@courses.iitd.ac.in,dchadha,Devi Chadha,32
ELL718,ELL718@courses.iitd.ac.in,shankar.prakriya,Shankar Prakriya,4
ELL719,ELL719@courses.iitd.ac.in,sprasad,Surindra Prasad,36
ELL720,ELL720@courses.iitd.ac.in,seshan,Seshan Srirangarajan,23
ELL723,ELL723@courses.iitd.ac.in,vchandra,Vinod Chandra,65
ELL726,ELL726@courses.iitd.ac.in,adhawan,Anuj Dhawan,8
ELL730,ELL730@courses.iitd.ac.in,mamidala,M Jagadesh Kumar,19
ELL731,ELL731@courses.iitd.ac.in,shouri,Shouribrata Chatterjee,33
ELL739,ELL739@courses.iitd.ac.in,msingh,Madhusudan Singh,3
ELL747,ELL747@courses.iitd.ac.in,msarkar,Mukul Sarkar,11
ELL749,ELL749@courses.iitd.ac.in,msarkar,Mukul Sarkar,10
ELL752,ELL752@courses.iitd.ac.in,bsingh,Bhim Singh,24
ELL769,ELL769@courses.iitd.ac.in,bpsingh,B P Singh,23
ELL774,ELL774@courses.iitd.ac.in,kothariml,Mohan Lal Kothari,33
ELL776,ELL776@courses.iitd.ac.in,prbijwe,P R Bijwe,13
ELL778,ELL778@courses.iitd.ac.in,nsenroy,Nilanjan Senroy,10
ELL783,ELL783@courses.iitd.ac.in,sumantra,Sumantra Dutta Roy,24
ELL784,ELL784@courses.iitd.ac.in,sumantra,Sumantra Dutta Roy,50
ELL786,ELL786@courses.iitd.ac.in,brejesh,Brejesh Lall,61
ELL800,ELL800@courses.iitd.ac.in,deepakpatil,Deepak Umakant Patil,22
ELL802,ELL802@courses.iitd.ac.in,ink,Indra Narayan Kar,22
ELL813,ELL813@courses.iitd.ac.in,saifkm,Saif Khan Mohammed,4
ELL814,ELL814@courses.iitd.ac.in,vkjain,V K Jain,10
ELL815,ELL815@courses.iitd.ac.in,manav,Manav Bhatnagar,26
ELL817,ELL817@courses.iitd.ac.in,abhishek.dixit,Abhishek Dixit,29
ELL821,ELL821@courses.iitd.ac.in,rbose,Ranjan Bose,5
ELL850,ELL850@courses.iitd.ac.in,mvchary,Mummadi Veerachary,17
ELL855,ELL855@courses.iitd.ac.in,anandarup,Anandarup Das,12
ELL870,ELL870@courses.iitd.ac.in,abhyankar,Abhijit Ramchandra Abhyankar,8
ELL880,ELL880@courses.iitd.ac.in,tgandhi,Tapan Kumar Gandhi,19
ELL894,ELL894@courses.iitd.ac.in,jbseo,Jun Bae Seo,8
ELP201,ELP201@courses.iitd.ac.in,manansuri,Manan Suri,0
ELP203,ELP203@courses.iitd.ac.in,rkmahesh,Ramkrishan Maheshwari,130
ELP302,ELP302@courses.iitd.ac.in,mvchary,Mummadi Veerachary,120
ELP305,ELP305@courses.iitd.ac.in,subrat,Subrat Kar,185
ELP311,ELP311@courses.iitd.ac.in,manav,Manav Bhatnagar,83
ELP720,ELP720@courses.iitd.ac.in,subrat,Subrat Kar,20
ELP721,ELP721@courses.iitd.ac.in,subrat,Subrat Kar,1
ELP725,ELP725@courses.iitd.ac.in,rbose,Ranjan Bose,41
ELP736,ELP736@courses.iitd.ac.in,jayadeva,Jayadeva,8
ELP801,ELP801@courses.iitd.ac.in,rkpb,Rkp Bhatt,12
ELP832,ELP832@courses.iitd.ac.in,shouri,Shouribrata Chatterjee,8
ELP852,ELP852@courses.iitd.ac.in,bsingh,Bhim Singh,8
ELP853,ELP853@courses.iitd.ac.in,mvchary,Mummadi Veerachary,8
ELP871,ELP871@courses.iitd.ac.in,nsenroy,Nilanjan Senroy,12
ELQ301,ELQ301@courses.iitd.ac.in,janas,S Janardhanan,59
ELS310,ELS310@courses.iitd.ac.in,adhawan,Anuj Dhawan,20
ELS330,ELS330@courses.iitd.ac.in,adhawan,Anuj Dhawan,5
ELV720,ELV720@courses.iitd.ac.in,hmgupta,H M Gupta,6
ELV780,ELV780@courses.iitd.ac.in,sumantra,Sumantra Dutta Roy,16
ELV781,ELV781@courses.iitd.ac.in,sumeet,Sumeet Agarwal,4
EPD411,EPD411@courses.iitd.ac.in,amartya,Amartya Sengupta,4
EPL202,EPL202@courses.iitd.ac.in,vravi,V Ravishankar,2
EPL204,EPL204@courses.iitd.ac.in,akshukla,A K Shukla,3
EPL332,EPL332@courses.iitd.ac.in,hkmalik,Hitendra Kumar Malik,2
EPL335,EPL335@courses.iitd.ac.in,jpsingh,Jitendra Pratap Singh,7
EPS310,EPS310@courses.iitd.ac.in,santanu1,Santanu Ghosh,7
ESL300,ESL300@courses.iitd.ac.in,rpsharma,R P Sharma,24
ESL330,ESL330@courses.iitd.ac.in,rams,Ramesh Narayanan,83
ESL340,ESL340@courses.iitd.ac.in,dibakar,Dibakar Rakshit,53
ESL350,ESL350@courses.iitd.ac.in,kaushik,S C Kaushik,63
ESL360,ESL360@courses.iitd.ac.in,dpsahu,Debaprasad Sahu,13
ESL710,ESL710@courses.iitd.ac.in,chz168286,Ali Shoeb Moon,25
ESL714,ESL714@courses.iitd.ac.in,subra,K A Subramanian,15
ESL718,ESL718@courses.iitd.ac.in,tsb,T S Bhatti,25
ESL720,ESL720@courses.iitd.ac.in,dibakar,Dibakar Rakshit,24
ESL730,ESL730@courses.iitd.ac.in,ruma,Mrs R Uma,21
ESL732,ESL732@courses.iitd.ac.in,sharmadk,D K Sharma,8
ESL734,ESL734@courses.iitd.ac.in,rams,Ramesh Narayanan,15
ESL737,ESL737@courses.iitd.ac.in,aganguli,A Ganguli,0
ESL746,ESL746@courses.iitd.ac.in,lmdas,L M Das,1
ESL755,ESL755@courses.iitd.ac.in,spathak,Sandeep Kumar Pathak,44
ESL871,ESL871@courses.iitd.ac.in,rpsharma,R P Sharma,6
ESL880,ESL880@courses.iitd.ac.in,tarak,T C Kandpal,9
ESP713,ESP713@courses.iitd.ac.in,dibakar,Dibakar Rakshit,21
ESQ302,ESQ302@courses.iitd.ac.in,kaushik,S C Kaushik,81
ESQ303,ESQ303@courses.iitd.ac.in,averma,Ashu Verma,11
ESQ304,ESQ304@courses.iitd.ac.in,rams,Ramesh Narayanan,9
ESQ305,ESQ305@courses.iitd.ac.in,sharmadk,D K Sharma,71
ESQ306,ESQ306@courses.iitd.ac.in,bb1140030,Ayushi Agrawal,21
HUC722,HUC722@courses.iitd.ac.in,reetika,Reetika Khera,32
HUL211A,HUL211A@courses.iitd.ac.in,ankush,Ankush Agrawal,88
HUL211B,HUL211B@courses.iitd.ac.in,reetika,Reetika Khera,85
HUL212,HUL212@courses.iitd.ac.in,debasis,Debasis Mondal,86
HUL231,HUL231@courses.iitd.ac.in,divyadwi,Divya Dwivedi,61
HUL234,HUL234@courses.iitd.ac.in,rbnair,Rukmini Bhaya Nair,89
HUL236,HUL236@courses.iitd.ac.in,arjunghosh,Arjun Ghosh,129
HUL242A,HUL242A@courses.iitd.ac.in,psanyal,Paroma Sanyal,81
HUL242B,HUL242B@courses.iitd.ac.in,samar,Samar Husain,89
HUL253,HUL253@courses.iitd.ac.in,milindw,Milind Wakankar,109
HUL256,HUL256@courses.iitd.ac.in,boruah,Bijoy H Boruah,83
HUL258,HUL258@courses.iitd.ac.in,sanil,Sanil V ,85
HUL261,HUL261@courses.iitd.ac.in,vsingh,Varsha Singh,83
HUL265,HUL265@courses.iitd.ac.in,singhk,Kamlesh Singh,85
HUL271,HUL271@courses.iitd.ac.in,sarbeswar,Sarbeswar Sahoo,91
HUL272,HUL272@courses.iitd.ac.in,aurora,Vibha Arora,86
HUL275,HUL275@courses.iitd.ac.in,upasna,Upasna Sharma,90
HUL307,HUL307@courses.iitd.ac.in,angelie,Angelie Multani,34
HUL315,HUL315@courses.iitd.ac.in,sbpaul,Sourabh Bikas Paul,38
HUL320A,HUL320A@courses.iitd.ac.in,upadhyay,V Upadhyay,37
HUL320B,HUL320B@courses.iitd.ac.in,saptarshi,Saptarshi Mukherjee,32
HUL335,HUL335@courses.iitd.ac.in,ssawhney,Simona Sawhney,32
HUL350,HUL350@courses.iitd.ac.in,pritha,Pritha Chandra,35
HUL356,HUL356@courses.iitd.ac.in,bpuri,Bharati Puri,35
HUL360,HUL360@courses.iitd.ac.in,burra,Arudra Venkata Burra,22
HUL362,HUL362@courses.iitd.ac.in,psingh,Purnima Singh,41
HUL364,HUL364@courses.iitd.ac.in,yaj,Yashpal Ashokrao Jogdand,13
HUL371,HUL371@courses.iitd.ac.in,asagar,Ambuj D Sagar,29
HUL372,HUL372@courses.iitd.ac.in,richa,Richa Kumar,32
HUL375,HUL375@courses.iitd.ac.in,fibrahim,Farhana Ibrahim,34
HUL380,HUL380@courses.iitd.ac.in,rkaur,Ravinder Kaur,36
HUL381,HUL381@courses.iitd.ac.in,raja,Rajakrishnan Rajkumar,35
HUL701,HUL701@courses.iitd.ac.in,sarbeswar,Sarbeswar Sahoo,9
HUL703,HUL703@courses.iitd.ac.in,richa,Richa Kumar,6
HUL707,HUL707@courses.iitd.ac.in,psingh,Purnima Singh,19
HUL735,HUL735@courses.iitd.ac.in,reetika,Reetika Khera,8
HUL736,HUL736@courses.iitd.ac.in,ankush,Ankush Agrawal,25
HUL737,HUL737@courses.iitd.ac.in,debasis,Debasis Mondal,6
HUL754,HUL754@courses.iitd.ac.in,nthayyil,Naveen Thayyil Kamaluddin,8
HUL756,HUL756@courses.iitd.ac.in,sbpaul,Sourabh Bikas Paul,8
HUL810,HUL810@courses.iitd.ac.in,milindw,Milind Wakankar,218
HUL823,HUL823@courses.iitd.ac.in,ssawhney,Simona Sawhney,6
HUL840,HUL840@courses.iitd.ac.in,boruah,Bijoy H Boruah,7
HUL841,HUL841@courses.iitd.ac.in,burra,Arudra Venkata Burra,16
HUL843,HUL843@courses.iitd.ac.in,raja,Rajakrishnan Rajkumar,10
HUL881,HUL881@courses.iitd.ac.in,divyadwi,Divya Dwivedi,13
HUN100,HUN100@courses.iitd.ac.in,psanyal,Paroma Sanyal,1
HUV750,HUV750@courses.iitd.ac.in,pritha,Pritha Chandra,27
HUV751,HUV751@courses.iitd.ac.in,samar,Samar Husain,8
HUV886,HUV886@courses.iitd.ac.in,vsingh,Varsha Singh,12
ITL702,ITL702@courses.iitd.ac.in,ntandon,Naresh Tandon,13
ITL709,ITL709@courses.iitd.ac.in,fatima,Shahab Fatima,13
ITL711,ITL711@courses.iitd.ac.in,opgandhi,O P Gandhi,13
ITL714,ITL714@courses.iitd.ac.in,dkumar,Deepak Kumar,12
ITL730,ITL730@courses.iitd.ac.in,jbijwe,Jayashree Bijwe,0
JID802,JID802@courses.iitd.ac.in,dkumar,Deepak Kumar,11
JND801,JND801@courses.iitd.ac.in,subra,K A Subramanian,3
JND802,JND802@courses.iitd.ac.in,subra,K A Subramanian,15
JOD802,JOD802@courses.iitd.ac.in,ravi,R K Varshney,12
JOP792,JOP792@courses.iitd.ac.in,mrshenoy,M R Shenoy,26
JOS795,JOS795@courses.iitd.ac.in,kkshah,Kushal Kumar Shah,1
JPD802,JPD802@courses.iitd.ac.in,jacob,Josemon Jacob,17
JRD301,JRD301@courses.iitd.ac.in,saha,Subir Kumar Saha,10
JRD310,JRD310@courses.iitd.ac.in,santanuc,Santanu Chaudhury,0
JSD801,JSD801@courses.iitd.ac.in,subra,K A Subramanian,0
JSD802,JSD802@courses.iitd.ac.in,subra,K A Subramanian,12
JTD792,JTD792@courses.iitd.ac.in,saifkm,Saif Khan Mohammed,21
JTD802,JTD802@courses.iitd.ac.in,adhawan,Anuj Dhawan,10
JVD809,JVD809@courses.iitd.ac.in,anshul,Anshul Kumar,0
JVD811,JVD811@courses.iitd.ac.in,jayadeva,Jayadeva,4
JVD812,JVD812@courses.iitd.ac.in,jayadeva,Jayadeva,5
JVS802,JVS802@courses.iitd.ac.in,anshul,Anshul Kumar,1
MAD851,MAD851@courses.iitd.ac.in,shravankumar,N Shravan Kumar,2
MAD852,MAD852@courses.iitd.ac.in,shravankumar,N Shravan Kumar,9
MAD853,MAD853@courses.iitd.ac.in,shravankumar,N Shravan Kumar,2
MAD854,MAD854@courses.iitd.ac.in,shravankumar,N Shravan Kumar,29
MAL145,MAL145@courses.iitd.ac.in,atripath,A Tripathi,1
MAL245,MAL245@courses.iitd.ac.in,viswa,Viswanathan Puthan Veedu,24
MAL390,MAL390@courses.iitd.ac.in,dharmar,S Dharmaraja,6
MAL466,MAL466@courses.iitd.ac.in,niladri,Niladri Chatterjee,34
MAL630,MAL630@courses.iitd.ac.in,sreenadh,Konijeti Sreenadh,1
MAL732,MAL732@courses.iitd.ac.in,apmehra,Aparna Mehra,30
MAL737,MAL737@courses.iitd.ac.in,shravankumar,N Shravan Kumar,8
MCD310,MCD310@courses.iitd.ac.in,sanjeevj,Sanjeev Jain,22
MCD411,MCD411@courses.iitd.ac.in,pmvs,P M V Subbarao,16
MCD412,MCD412@courses.iitd.ac.in,pmvs,P M V Subbarao,43
MCD811,MCD811@courses.iitd.ac.in,subhra.datta,Subhra Datta,1
MCD812,MCD812@courses.iitd.ac.in,subhra.datta,Subhra Datta,15
MCD831,MCD831@courses.iitd.ac.in,rajpandey,RK Pandey,1
MCD832,MCD832@courses.iitd.ac.in,rajpandey,RK Pandey,12
MCD862,MCD862@courses.iitd.ac.in,nomesh,Nomesh Bhojkumar Bolia,6
MCD882,MCD882@courses.iitd.ac.in,suniljha,Sunil Jha,13
MCD895,MCD895@courses.iitd.ac.in,agupta,Amit Gupta,5
MCL131,MCL131@courses.iitd.ac.in,aravindan,Sivanandam Aravindan,77
MCL132,MCL132@courses.iitd.ac.in,dravi,Digavalli Ravi Kumar,64
MCL133,MCL133@courses.iitd.ac.in,nareshb,Naresh Bhatnagar,57
MCL136,MCL136@courses.iitd.ac.in,ghoshs,Sudarsan Ghosh,60
MCL142,MCL142@courses.iitd.ac.in,subhra.datta,Subhra Datta,121
MCL201,MCL201@courses.iitd.ac.in,jkdutt,Jayanta Kumar Dutt,141
MCL212,MCL212@courses.iitd.ac.in,jkdutt,Jayanta Kumar Dutt,150
MCL241,MCL241@courses.iitd.ac.in,agupta,Amit Gupta,89
MCL311,MCL311@courses.iitd.ac.in,dkdubey,Devendra Kumar Dubey,140
MCL321,MCL321@courses.iitd.ac.in,singhsp,Satinder Paul Singh,55
MCL331,MCL331@courses.iitd.ac.in,aravindan,Sivanandam Aravindan,66
MCL343,MCL343@courses.iitd.ac.in,kmayank,Mayank Kumar,40
MCL345,MCL345@courses.iitd.ac.in,ravimr,M R Ravi,40
MCL347,MCL347@courses.iitd.ac.in,prem,B Premachandran,24
MCL361,MCL361@courses.iitd.ac.in,nomesh,Nomesh Bhojkumar Bolia,128
MCL421,MCL421@courses.iitd.ac.in,achawla,Anoop Chawla,5
MCL705,MCL705@courses.iitd.ac.in,skohli,Sangeeta Kohli,44
MCL730,MCL730@courses.iitd.ac.in,datla,Naresh Varma Datla,15
MCL733,MCL733@courses.iitd.ac.in,akdarpe,Ashish Kamalakar Darpe,20
MCL736,MCL736@courses.iitd.ac.in,achawla,Anoop Chawla,14
MCL738,MCL738@courses.iitd.ac.in,saha,Subir Kumar Saha,11
MCL741,MCL741@courses.iitd.ac.in,svmodak,Subodh Vasant Modak,15
MCL743,MCL743@courses.iitd.ac.in,kgupta,Kshitij Gupta,45
MCL745,MCL745@courses.iitd.ac.in,sudipto,Sudipto Mukherjee,14
MCL747,MCL747@courses.iitd.ac.in,jpkhatait,Jitendra Prasad Khatait,64
MCL748,MCL748@courses.iitd.ac.in,rajpandey,RK Pandey,9
MCL754,MCL754@courses.iitd.ac.in,nomesh,Nomesh Bhojkumar Bolia,10
MCL756,MCL756@courses.iitd.ac.in,dravi,Digavalli Ravi Kumar,41
MCL771,MCL771@courses.iitd.ac.in,gupta,Anand Dev Gupta,28
MCL778,MCL778@courses.iitd.ac.in,spandey,Sunil Pandey,10
MCL782,MCL782@courses.iitd.ac.in,pmpandey,Pulak Mohan Pandey,31
MCL784,MCL784@courses.iitd.ac.in,suniljha,Sunil Jha,31
MCL786,MCL786@courses.iitd.ac.in,ghoshs,Sudarsan Ghosh,30
MCL814,MCL814@courses.iitd.ac.in,raya,Anjan Ray,20
MCL823,MCL823@courses.iitd.ac.in,prabal,Prabal Talukdar,22
MCL825,MCL825@courses.iitd.ac.in,pmvs,P M V Subbarao,30
MCL826,MCL826@courses.iitd.ac.in,bahga,Supreet Singh Bahga,11
MCL865,MCL865@courses.iitd.ac.in,kseth,Kiran Seth,15
MCN101,MCN101@courses.iitd.ac.in,raya,Anjan Ray,0
MCP100,MCP100@courses.iitd.ac.in,sks,Sujeet Kumar Sinha,446
MCP101,MCP101@courses.iitd.ac.in,pvmrao,P V Madhusudhan Rao,440
MCP261,MCP261@courses.iitd.ac.in,gupta,Anand Dev Gupta,58
MCP301,MCP301@courses.iitd.ac.in,srk,S R Kale,75
MCP331,MCP331@courses.iitd.ac.in,ghoshs,Sudarsan Ghosh,82
MCP332,MCP332@courses.iitd.ac.in,spandey,Sunil Pandey,59
MCQ301,MCQ301@courses.iitd.ac.in,datla,Naresh Varma Datla,26
MCQ302,MCQ302@courses.iitd.ac.in,bahga,Supreet Singh Bahga,26
MCQ303,MCQ303@courses.iitd.ac.in,nareshb,Naresh Bhatnagar,25
MCV390,MCV390@courses.iitd.ac.in,singhsp,Satinder Paul Singh,82
MCV849,MCV849@courses.iitd.ac.in,achawla,Anoop Chawla,2
MEC410,MEC410@courses.iitd.ac.in,nareshb,Naresh Bhatnagar,2
MED422,MED422@courses.iitd.ac.in,pmvs,P M V Subbarao,1
MED895,MED895@courses.iitd.ac.in,raya,Anjan Ray,0
MEP311,MEP311@courses.iitd.ac.in,raya,Anjan Ray,8
MEP341,MEP341@courses.iitd.ac.in,srk,S R Kale,6
MSD792,MSD792@courses.iitd.ac.in,amlendu,Amlendu Kumar Dubey,31
MSD890,MSD890@courses.iitd.ac.in,amlendu,Amlendu Kumar Dubey,37
MSD891,MSD891@courses.iitd.ac.in,amlendu,Amlendu Kumar Dubey,10
MSD892,MSD892@courses.iitd.ac.in,amlendu,Amlendu Kumar Dubey,24
MSL301,MSL301@courses.iitd.ac.in,shuchi,Shuchi Sinha,69
MSL303,MSL303@courses.iitd.ac.in,mahim,Mahim Sagar,92
MSL703,MSL703@courses.iitd.ac.in,sanjaydhir,Sanjay Dhir,37
MSL705,MSL705@courses.iitd.ac.in,kanika,Kanika Tandon Bhal,92
MSL708A,MSL708A@courses.iitd.ac.in,pkjain,P K Jain,94
MSL708B,MSL708B@courses.iitd.ac.in,shvetasingh,Shveta Singh,55
MSL711,MSL711@courses.iitd.ac.in,sanjaydhir,Sanjay Dhir,103
MSL713,MSL713@courses.iitd.ac.in,mpgupta,Manmohan Prasad Gupta,58
MSL720A,MSL720A@courses.iitd.ac.in,amlendu,Amlendu Kumar Dubey,23
MSL720B,MSL720B@courses.iitd.ac.in,seemash,Seema Sharma,94
MSL721,MSL721@courses.iitd.ac.in,amlendu,Amlendu Kumar Dubey,72
MSL723,MSL723@courses.iitd.ac.in,mahim,Mahim Sagar,46
MSL724,MSL724@courses.iitd.ac.in,shuchi,Shuchi Sinha,53
MSL728,MSL728@courses.iitd.ac.in,ravi1,Ravi Shankar,30
MSL729A,MSL729A@courses.iitd.ac.in,kanika,Kanika Tandon Bhal,92
MSL729B,MSL729B@courses.iitd.ac.in,kanika,Kanika Tandon Bhal,53
MSL733,MSL733@courses.iitd.ac.in,shuchi,Shuchi Sinha,34
MSL740,MSL740@courses.iitd.ac.in,sprsingh,Surya Prakash Singh,56
MSL745,MSL745@courses.iitd.ac.in,jmadaan,Dr Jitendra Madaan,96
MSL780A,MSL780A@courses.iitd.ac.in,seemash,Seema Sharma,93
MSL780B,MSL780B@courses.iitd.ac.in,skjain,Sudhir Kumar Jain,54
MSL802,MSL802@courses.iitd.ac.in,skjain,Sudhir Kumar Jain,31
MSL806,MSL806@courses.iitd.ac.in,smitak,Smita Kashiramka,5
MSL821,MSL821@courses.iitd.ac.in,sushil,Sushil,17
MSL838,MSL838@courses.iitd.ac.in,arpankar,Arpan Kumar Kar,53
MSL840,MSL840@courses.iitd.ac.in,jmadaan,Dr Jitendra Madaan,32
MSL841,MSL841@courses.iitd.ac.in,ravi1,Ravi Shankar,14
MSL856,MSL856@courses.iitd.ac.in,mpgupta,Manmohan Prasad Gupta,50
MSL860,MSL860@courses.iitd.ac.in,vignes,P Vigneswara Ilavarasan,28
MSL865,MSL865@courses.iitd.ac.in,harishc,Harish Chaudhry,42
MSL871,MSL871@courses.iitd.ac.in,smitak,Smita Kashiramka,18
MSL873,MSL873@courses.iitd.ac.in,ssyadav,Surendra Singh Yadav,33
MSL874,MSL874@courses.iitd.ac.in,smitak,Smita Kashiramka,20
MSL875,MSL875@courses.iitd.ac.in,ssyadav,Surendra Singh Yadav,14
MSL883,MSL883@courses.iitd.ac.in,vignes,P Vigneswara Ilavarasan,21
MSL885,MSL885@courses.iitd.ac.in,arpankar,Arpan Kumar Kar,64
MST894,MST894@courses.iitd.ac.in,vignes,P Vigneswara Ilavarasan,102
MTD350,MTD350@courses.iitd.ac.in,viswa,Viswanathan Puthan Veedu,23
MTD701,MTD701@courses.iitd.ac.in,rksharma,Rajendra Kumar Sharma,0
MTD702,MTD702@courses.iitd.ac.in,rksharma,Rajendra Kumar Sharma,14
MTL100A,MTL100A@courses.iitd.ac.in,rksharma,Rajendra Kumar Sharma,251
MTL100B,MTL100B@courses.iitd.ac.in,rksharma,Rajendra Kumar Sharma,250
MTL101A,MTL101A@courses.iitd.ac.in,priyadarshi,Amit Priyadarshi,231
MTL101B,MTL101B@courses.iitd.ac.in,priyadarshi,Amit Priyadarshi,248
MTL102,MTL102@courses.iitd.ac.in,sreenadh,Konijeti Sreenadh,159
MTL103,MTL103@courses.iitd.ac.in,apmehra,Aparna Mehra,157
MTL106,MTL106@courses.iitd.ac.in,niladri,Niladri Chatterjee,205
MTL108,MTL108@courses.iitd.ac.in,dharmar,S Dharmaraja,171
MTL122,MTL122@courses.iitd.ac.in,anima,Anima Nagar,82
MTL145,MTL145@courses.iitd.ac.in,atripath,A Tripathi,49
MTL390,MTL390@courses.iitd.ac.in,dharmar,S Dharmaraja,76
MTL411,MTL411@courses.iitd.ac.in,viswa,Viswanathan Puthan Veedu,84
MTL506,MTL506@courses.iitd.ac.in,atripath,A Tripathi,56
MTL507,MTL507@courses.iitd.ac.in,shravankumar,N Shravan Kumar,65
MTL508,MTL508@courses.iitd.ac.in,apmehra,Aparna Mehra,54
MTL509,MTL509@courses.iitd.ac.in,hkumar,Harish Kumar,55
MTL510,MTL510@courses.iitd.ac.in,siva,Sivananthan Sampath,51
MTL603,MTL603@courses.iitd.ac.in,sreenadh,Konijeti Sreenadh,1
MTL731,MTL731@courses.iitd.ac.in,anima,Anima Nagar,20
MTL732,MTL732@courses.iitd.ac.in,apmehra,Aparna Mehra,76
MTL735,MTL735@courses.iitd.ac.in,atripath,A Tripathi,19
MTL737,MTL737@courses.iitd.ac.in,shravankumar,N Shravan Kumar,58
MTL743,MTL743@courses.iitd.ac.in,siva,Sivananthan Sampath,11
MTL766,MTL766@courses.iitd.ac.in,niladri,Niladri Chatterjee,45
MTL776,MTL776@courses.iitd.ac.in,bspanda,Bhawani Sankar Panda,93
MTL782,MTL782@courses.iitd.ac.in,bspanda,Bhawani Sankar Panda,68
MTL792,MTL792@courses.iitd.ac.in,sreenadh,Konijeti Sreenadh,13
MTL795,MTL795@courses.iitd.ac.in,hkumar,Harish Kumar,26
MTL874,MTL874@courses.iitd.ac.in,viswa,Viswanathan Puthan Veedu,11
MTP290,MTP290@courses.iitd.ac.in,hkumar,Harish Kumar,78
MTQ306,MTQ306@courses.iitd.ac.in,shravankumar,N Shravan Kumar,27
MTQ307,MTQ307@courses.iitd.ac.in,sreenadh,Konijeti Sreenadh,11
MTQ308,MTQ308@courses.iitd.ac.in,hkumar,Harish Kumar,6
NCN100,NCN100@courses.iitd.ac.in,brejesh,Brejesh Lall,0
NEN100,NEN100@courses.iitd.ac.in,skohli,Sangeeta Kohli,0
NEN101,NEN101@courses.iitd.ac.in,tarak,T C Kandpal,876
NLN101,NLN101@courses.iitd.ac.in,psanyal,Paroma Sanyal,881
